load_torque_Nm,current_A,speed_RPM,effective_voltage_V,mechanical_power_W,electrical_power_W,efficiency_percent,current_limited
0.00215,0.3068866787,3614.044605,24,0.813693012,7.365280289,11.04768563,0
0.00216,0.3070524412,3614.03255,24,0.8174749038,7.36925859,11.09304137,0
0.00217,0.3072182037,3614.020494,24,0.8212567703,7.37323689,11.13834782,0
0.00218,0.3073839662,3614.008439,24,0.8250386116,7.37721519,11.18360506,0
0.00219,0.3075497288,3613.996383,24,0.8288204276,7.38119349,11.22881318,0
0.0022,0.3077154913,3613.984328,24,0.8326022184,7.38517179,11.27397225,0
0.00221,0.3078812538,3613.972272,24,0.836383984,7.38915009,11.31908235,0
0.00222,0.3080470163,3613.960217,24,0.8401657242,7.393128391,11.36414356,0
0.00223,0.3082127788,3613.948162,24,0.8439474393,7.397106691,11.40915597,0
0.00224,0.3083785413,3613.936106,24,0.8477291291,7.401084991,11.45411963,0
0.00225,0.3085443038,3613.924051,24,0.8515107936,7.405063291,11.49903465,0
0.00226,0.3087100663,3613.911995,24,0.8552924329,7.409041591,11.54390109,0
0.00227,0.3088758288,3613.89994,24,0.8590740469,7.413019892,11.58871903,0
0.00228,0.3090415913,3613.887884,24,0.8628556357,7.416998192,11.63348855,0
0.00229,0.3092073538,3613.875829,24,0.8666371993,7.420976492,11.67820974,0
0.0023,0.3093731163,3613.863773,24,0.8704187376,7.424954792,11.72288266,0
0.00231,0.3095388788,3613.851718,24,0.8742002506,7.428933092,11.76750739,0
0.00232,0.3097046414,3613.839662,24,0.8779817384,7.432911392,11.81208401,0
0.00233,0.3098704039,3613.827607,24,0.881763201,7.436889693,11.85661261,0
0.00234,0.3100361664,3613.815552,24,0.8855446383,7.440867993,11.90109325,0
0.00235,0.3102019289,3613.803496,24,0.8893260503,7.444846293,11.94552601,0
0.00236,0.3103676914,3613.791441,24,0.8931074371,7.448824593,11.98991097,0
0.00237,0.3105334539,3613.779385,24,0.8968887987,7.452802893,12.03424821,0
0.00238,0.3106992164,3613.76733,24,0.900670135,7.456781193,12.0785378,0
0.00239,0.3108649789,3613.755274,24,0.904451446,7.460759494,12.12277982,0
0.0024,0.3110307414,3613.743219,24,0.9082327319,7.464737794,12.16697434,0
0.00241,0.3111965039,3613.731163,24,0.9120139924,7.468716094,12.21112144,0
0.00242,0.3113622664,3613.719108,24,0.9157952277,7.472694394,12.2552212,0
0.00243,0.3115280289,3613.707052,24,0.9195764378,7.476672694,12.29927369,0
0.00244,0.3116937914,3613.694997,24,0.9233576226,7.480650995,12.34327899,0
0.00245,0.3118595539,3613.682942,24,0.9271387822,7.484629295,12.38723717,0
0.00246,0.3120253165,3613.670886,24,0.9309199165,7.488607595,12.43114831,0
0.00247,0.312191079,3613.658831,24,0.9347010255,7.492585895,12.47501248,0
0.00248,0.3123568415,3613.646775,24,0.9384821094,7.496564195,12.51882976,0
0.00249,0.312522604,3613.63472,24,0.9422631679,7.500542495,12.56260022,0
0.0025,0.3126883665,3613.622664,24,0.9460442012,7.504520796,12.60632393,0
0.00251,0.312854129,3613.610609,24,0.9498252093,7.508499096,12.65000098,0
0.00252,0.3130198915,3613.598553,24,0.9536061921,7.512477396,12.69363143,0
0.00253,0.313185654,3613.586498,24,0.9573871497,7.516455696,12.73721536,0
0.00254,0.3133514165,3613.574442,24,0.961168082,7.520433996,12.78075285,0
0.00255,0.313517179,3613.562387,24,0.9649489891,7.524412297,12.82424396,0
0.00256,0.3136829415,3613.550332,24,0.9687298709,7.528390597,12.86768876,0
0.00257,0.313848704,3613.538276,24,0.9725107275,7.532368897,12.91108735,0
0.00258,0.3140144665,3613.526221,24,0.9762915588,7.536347197,12.95443977,0
0.00259,0.3141802291,3613.514165,24,0.9800723649,7.540325497,12.99774612,0
0.0026,0.3143459916,3613.50211,24,0.9838531457,7.544303797,13.04100646,0
0.00261,0.3145117541,3613.490054,24,0.9876339013,7.548282098,13.08422087,0
0.00262,0.3146775166,3613.477999,24,0.9914146316,7.552260398,13.12738941,0
0.00263,0.3148432791,3613.465943,24,0.9951953367,7.556238698,13.17051216,0
0.00264,0.3150090416,3613.453888,24,0.9989760166,7.560216998,13.2135892,0
0.00265,0.3151748041,3613.441832,24,1.002756671,7.564195298,13.25662059,0
0.00266,0.3153405666,3613.429777,24,1.0065373,7.568173599,13.2996064,0
0.00267,0.3155063291,3613.417722,24,1.010317905,7.572151899,13.34254672,0
0.00268,0.3156720916,3613.405666,24,1.014098483,7.576130199,13.3854416,0
0.00269,0.3158378541,3613.393611,24,1.017879037,7.580108499,13.42829113,0
0.0027,0.3160036166,3613.381555,24,1.021659565,7.584086799,13.47109537,0
0.00271,0.3161693791,3613.3695,24,1.025440068,7.588065099,13.51385439,0
0.00272,0.3163351417,3613.357444,24,1.029220546,7.5920434,13.55656827,0
0.00273,0.3165009042,3613.345389,24,1.033000999,7.5960217,13.59923707,0
0.00274,0.3166666667,3613.333333,24,1.036781426,7.6,13.64186087,0
0.00275,0.3168324292,3613.321278,24,1.040561828,7.6039783,13.68443974,0
0.00276,0.3169981917,3613.309222,24,1.044342205,7.6079566,13.72697375,0
0.00277,0.3171639542,3613.297167,24,1.048122557,7.611934901,13.76946296,0
0.00278,0.3173297167,3613.285112,24,1.051902883,7.615913201,13.81190745,0
0.00279,0.3174954792,3613.273056,24,1.055683184,7.619891501,13.8543073,0
0.0028,0.3176612417,3613.261001,24,1.05946346,7.623869801,13.89666256,0
0.00281,0.3178270042,3613.248945,24,1.063243711,7.627848101,13.93897331,0
0.00282,0.3179927667,3613.23689,24,1.067023936,7.631826401,13.98123961,0
0.00283,0.3181585292,3613.224834,24,1.070804136,7.635804702,14.02346155,0
0.00284,0.3183242917,3613.212779,24,1.074584311,7.639783002,14.06563918,0
0.00285,0.3184900542,3613.200723,24,1.078364461,7.643761302,14.10777257,0
0.00286,0.3186558168,3613.188668,24,1.082144585,7.647739602,14.14986181,0
0.00287,0.3188215793,3613.176612,24,1.085924684,7.651717902,14.19190694,0
0.00288,0.3189873418,3613.164557,24,1.089704758,7.655696203,14.23390805,0
0.00289,0.3191531043,3613.152502,24,1.093484807,7.659674503,14.2758652,0
0.0029,0.3193188668,3613.140446,24,1.09726483,7.663652803,14.31777846,0
0.00291,0.3194846293,3613.128391,24,1.101044828,7.667631103,14.35964789,0
0.00292,0.3196503918,3613.116335,24,1.104824801,7.671609403,14.40147357,0
0.00293,0.3198161543,3613.10428,24,1.108604748,7.675587703,14.44325557,0
0.00294,0.3199819168,3613.092224,24,1.112384671,7.679566004,14.48499395,0
0.00295,0.3201476793,3613.080169,24,1.116164568,7.683544304,14.52668878,0
0.00296,0.3203134418,3613.068113,24,1.11994444,7.687522604,14.56834012,0
0.00297,0.3204792043,3613.056058,24,1.123724286,7.691500904,14.60994805,0
0.00298,0.3206449668,3613.044002,24,1.127504108,7.695479204,14.65151263,0
0.00299,0.3208107294,3613.031947,24,1.131283904,7.699457505,14.69303394,0
0.003,0.3209764919,3613.019892,24,1.135063675,7.703435805,14.73451202,0
0.00301,0.3211422544,3613.007836,24,1.13884342,7.707414105,14.77594696,0
0.00302,0.3213080169,3612.995781,24,1.142623141,7.711392405,14.81733883,0
0.00303,0.3214737794,3612.983725,24,1.146402836,7.715370705,14.85868767,0
0.00304,0.3216395419,3612.97167,24,1.150182506,7.719349005,14.89999358,0
0.00305,0.3218053044,3612.959614,24,1.15396215,7.723327306,14.9412566,0
0.00306,0.3219710669,3612.947559,24,1.15774177,7.727305606,14.9824768,0
0.00307,0.3221368294,3612.935503,24,1.161521364,7.731283906,15.02365426,0
0.00308,0.3223025919,3612.923448,24,1.165300933,7.735262206,15.06478904,0
0.00309,0.3224683544,3612.911392,24,1.169080477,7.739240506,15.1058812,0
0.0031,0.3226341169,3612.899337,24,1.172859995,7.743218807,15.14693081,0
0.00311,0.3227998794,3612.887281,24,1.176639488,7.747197107,15.18793793,0
0.00312,0.322965642,3612.875226,24,1.180418956,7.751175407,15.22890264,0
0.00313,0.3231314045,3612.863171,24,1.184198399,7.755153707,15.26982499,0
0.00314,0.323297167,3612.851115,24,1.187977816,7.759132007,15.31070505,0
0.00315,0.3234629295,3612.83906,24,1.191757208,7.763110307,15.35154289,0
0.00316,0.323628692,3612.827004,24,1.195536575,7.767088608,15.39233856,0
0.00317,0.3237944545,3612.814949,24,1.199315917,7.771066908,15.43309215,0
0.00318,0.323960217,3612.802893,24,1.203095233,7.775045208,15.4738037,0
0.00319,0.3241259795,3612.790838,24,1.206874524,7.779023508,15.51447329,0
0.0032,0.324291742,3612.778782,24,1.21065379,7.783001808,15.55510097,0
0.00321,0.3244575045,3612.766727,24,1.214433031,7.786980108,15.59568682,0
0.00322,0.324623267,3612.754671,24,1.218212246,7.790958409,15.6362309,0
0.00323,0.3247890295,3612.742616,24,1.221991436,7.794936709,15.67673327,0
0.00324,0.324954792,3612.730561,24,1.225770601,7.798915009,15.71719399,0
0.00325,0.3251205546,3612.718505,24,1.229549741,7.802893309,15.75761313,0
0.00326,0.3252863171,3612.70645,24,1.233328855,7.806871609,15.79799076,0
0.00327,0.3254520796,3612.694394,24,1.237107944,7.81084991,15.83832693,0
0.00328,0.3256178421,3612.682339,24,1.240887008,7.81482821,15.8786217,0
0.00329,0.3257836046,3612.670283,24,1.244666047,7.81880651,15.91887516,0
0.0033,0.3259493671,3612.658228,24,1.24844506,7.82278481,15.95908734,0
0.00331,0.3261151296,3612.646172,24,1.252224048,7.82676311,15.99925832,0
0.00332,0.3262808921,3612.634117,24,1.256003011,7.83074141,16.03938817,0
0.00333,0.3264466546,3612.622061,24,1.259781949,7.834719711,16.07947694,0
0.00334,0.3266124171,3612.610006,24,1.263560861,7.838698011,16.11952469,0
0.00335,0.3267781796,3612.597951,24,1.267339749,7.842676311,16.1595315,0
0.00336,0.3269439421,3612.585895,24,1.271118611,7.846654611,16.19949741,0
