rpm,air_gap_mm,B0_T,fem_torque_Nm,torque_compensation_Nm,torque_Nm
1500,12.25,0.0703720999,0.0093513741,0.0207300000,0.0300813741
1500,12.50,0.0681449248,0.0087688258,0.0207300000,0.0294988258
1500,12.75,0.0660092870,0.0082278145,0.0207300000,0.0289578145
1500,13.00,0.0639606584,0.0077250315,0.0207300000,0.0284550315
1500,13.25,0.0619947661,0.0072574568,0.0207300000,0.0279874568
1500,13.50,0.0601075765,0.0068223319,0.0207300000,0.0275523319
1500,13.75,0.0582952810,0.0064171355,0.0207300000,0.0271471355
1500,14.00,0.0565542822,0.0060395614,0.0207300000,0.0267695614
1600,5.00,0.2095693764,0.0884622329,0.0207300000,0.1091922329
1600,5.25,0.2007356843,0.0811617534,0.0207300000,0.1018917534
1600,5.50,0.1923463792,0.0745195607,0.0207300000,0.0952495607
1600,5.75,0.1843782167,0.0684733341,0.0207300000,0.0892033341
1600,6.00,0.1768089220,0.0629666528,0.0207300000,0.0836966528
1600,6.25,0.1696172066,0.0579484826,0.0207300000,0.0786784826
1600,6.50,0.1627827713,0.0533726948,0.0207300000,0.0741026948
1600,6.75,0.1562862994,0.0491976174,0.0207300000,0.0699276174
1600,7.00,0.1501094410,0.0453856198,0.0207300000,0.0661156198
1600,7.25,0.1442347910,0.0419027295,0.0207300000,0.0626327295
1600,7.50,0.1386458613,0.0387182817,0.0207300000,0.0594482817
1600,7.75,0.1333270508,0.0358045978,0.0207300000,0.0565345978
1600,8.00,0.1282636106,0.0331366940,0.0207300000,0.0538666940
1600,8.25,0.1234416095,0.0306920153,0.0207300000,0.0514220153
1600,8.50,0.1188478973,0.0284501958,0.0207300000,0.0491801958
1600,8.75,0.1144700677,0.0263928406,0.0207300000,0.0471228406
1600,9.00,0.1102964218,0.0245033296,0.0207300000,0.0452333296
1600,9.25,0.1063159319,0.0227666408,0.0207300000,0.0434966408
1600,9.50,0.1025182057,0.0211691904,0.0207300000,0.0418991904
1600,9.75,0.0988934521,0.0196986892,0.0207300000,0.0404286892
1600,10.00,0.0954324471,0.0183440141,0.0207300000,0.0390740141
1600,10.25,0.0921265026,0.0170950913,0.0207300000,0.0378250913
1600,10.50,0.0889674348,0.0159427925,0.0207300000,0.0366727925
1600,10.75,0.0859475351,0.0148788411,0.0207300000,0.0356088411
1600,11.00,0.0830595421,0.0138957285,0.0207300000,0.0346257285
1600,11.25,0.0802966151,0.0129866379,0.0207300000,0.0337166379
1600,11.50,0.0776523087,0.0121453770,0.0207300000,0.0328753770
1600,11.75,0.0751205491,0.0113663170,0.0207300000,0.0320963170
1600,12.00,0.0726956118,0.0106443377,0.0207300000,0.0313743377
1600,12.25,0.0703720999,0.0099747789,0.0207300000,0.0307047789
1600,12.50,0.0681449248,0.0093533953,0.0207300000,0.0300833953
1600,12.75,0.0660092870,0.0087763177,0.0207300000,0.0295063177
1600,13.00,0.0639606584,0.0082400170,0.0207300000,0.0289700170
1600,13.25,0.0619947661,0.0077412716,0.0207300000,0.0284712716
1600,13.50,0.0601075765,0.0072771393,0.0207300000,0.0280071393
1600,13.75,0.0582952810,0.0068449307,0.0207300000,0.0275749307
1600,14.00,0.0565542822,0.0064421858,0.0207300000,0.0271721858
1700,5.00,0.2095693764,0.0939909204,0.0207300000,0.1147209204
1700,5.25,0.2007356843,0.0862341776,0.0207300000,0.1069641776
1700,5.50,0.1923463792,0.0791768630,0.0207300000,0.0999068630
1700,5.75,0.1843782167,0.0727527611,0.0207300000,0.0934827611
1700,6.00,0.1768089220,0.0669019248,0.0207300000,0.0876319248
1700,6.25,0.1696172066,0.0615701304,0.0207300000,0.0823001304
1700,6.50,0.1627827713,0.0567083663,0.0207300000,0.0774383663
1700,6.75,0.1562862994,0.0522723561,0.0207300000,0.0730023561
1700,7.00,0.1501094410,0.0482221174,0.0207300000,0.0689521174
1700,7.25,0.1442347910,0.0445215544,0.0207300000,0.0652515544
1700,7.50,0.1386458613,0.0411380859,0.0207300000,0.0618680859
1700,7.75,0.1333270508,0.0380423034,0.0207300000,0.0587723034
1700,8.00,0.1282636106,0.0352076617,0.0207300000,0.0559376617
