load_torque_Nm;mechanical_power_W
0.00897;3.387079885
0.00898;3.390844557
0.00899;3.394609204
0.009;3.398373825
0.00901;3.402138422
0.00902;3.405902993
0.00903;3.409667538
0.00904;3.413432059
0.00905;3.417196554
0.00906;3.420961024
0.00907;3.424725469
0.00908;3.428489889
0.00909;3.432254283
0.0091;3.436018652
0.00911;3.439782996
0.00912;3.443547314
0.00913;3.447311608
0.00914;3.451075876
0.00915;3.454840119
0.00916;3.458604336
0.00917;3.462368528
0.00918;3.466132695
0.00919;3.469896837
0.0092;3.473660954
0.00921;3.477425045
0.00922;3.481189111
0.00923;3.484953152
0.00924;3.488717168
0.00925;3.492481158
0.00926;3.496245123
0.00927;3.500009063
0.00928;3.503772977
0.00929;3.507536867
0.0093;3.511300731
0.00931;3.51506457
0.00932;3.518828383
0.00933;3.522592172
0.00934;3.526355935
0.00935;3.530119672
0.00936;3.533883385
0.00937;3.537647072
0.00938;3.541410734
0.00939;3.545174371
0.0094;3.548937983
0.00941;3.552701569
0.00942;3.55646513
0.00943;3.560228666
0.00944;3.563992177
0.00945;3.567755662
0.00946;3.571519122
0.00947;3.575282557
0.00948;3.579045967
0.00949;3.582809351
0.0095;3.58657271
0.00951;3.590336044
0.00952;3.594099353
0.00953;3.597862636
0.00954;3.601625894
0.00955;3.605389127
0.00956;3.609152334
0.00957;3.612915517
0.00958;3.616678674
0.00959;3.620441806
0.0096;3.624204912
0.00961;3.627967994
0.00962;3.63173105
0.00963;3.635494081
0.00964;3.639257086
0.00965;3.643020067
0.00966;3.646783022
0.00967;3.650545952
0.00968;3.654308856
0.00969;3.658071736
0.0097;3.66183459
0.00971;3.665597419
0.00972;3.669360222
0.00973;3.673123001
0.00974;3.676885754
0.00975;3.680648482
0.00976;3.684411184
0.00977;3.688173862
0.00978;3.691936514
0.00979;3.695699141
0.0098;3.699461742
0.00981;3.703224319
0.00982;3.70698687
0.00983;3.710749396
0.00984;3.714511896
0.00985;3.718274372
0.00986;3.722036822
0.00987;3.725799247
0.00988;3.729561646
0.00989;3.733324021
0.0099;3.73708637
0.00991;3.740848694
0.00992;3.744610992
0.00993;3.748373266
0.00994;3.752135514
0.00995;3.755897737
0.00996;3.759659935
0.00997;3.763422107
0.00998;3.767184254
0.00999;3.770946376
0.01;3.774708473
0.01001;3.778470544
0.01002;3.78223259
0.01003;3.785994611
0.01004;3.789756607
0.01005;3.793518577
0.01006;3.797280522
0.01007;3.801042442
0.01008;3.804804337
0.01009;3.808566206
0.0101;3.812328051
0.01011;3.816089869
0.01012;3.819851663
0.01013;3.823613432
0.01014;3.827375175
0.01015;3.831136893
0.01016;3.834898585
0.01017;3.838660253
0.01018;3.842421895
0.01019;3.846183512
0.0102;3.849945103
0.01021;3.85370667
0.01022;3.857468211
0.01023;3.861229727
0.01024;3.864991218
0.01025;3.868752683
0.01026;3.872514123
0.01027;3.876275538
0.01028;3.880036928
0.01029;3.883798292
0.0103;3.887559632
0.01031;3.891320945
0.01032;3.895082234
0.01033;3.898843498
0.01034;3.902604736
0.01035;3.906365949
0.01036;3.910127136
0.01037;3.913888299
0.01038;3.917649436
0.01039;3.921410548
0.0104;3.925171635
0.01041;3.928932696
0.01042;3.932693732
0.01043;3.936454743
0.01044;3.940215729
0.01045;3.94397669
0.01046;3.947737625
0.01047;3.951498535
0.01048;3.955259419
0.01049;3.959020279
0.0105;3.962781113
0.01051;3.966541922
0.01052;3.970302706
0.01053;3.974063464
0.01054;3.977824197
0.01055;3.981584905
0.01056;3.985345588
0.01057;3.989106246
0.01058;3.992866878
0.01059;3.996627485
0.0106;4.000388066
0.01061;4.004148623
0.01062;4.007909154
0.01063;4.01166966
0.01064;4.015430141
0.01065;4.019190596
0.01066;4.022951027
0.01067;4.026711432
0.01068;4.030471811
0.01069;4.034232166
0.0107;4.037992495
0.01071;4.041752799
0.01072;4.045513078
0.01073;4.049273331
0.01074;4.053033559
0.01075;4.056793762
0.01076;4.06055394
0.01077;4.064314093
0.01078;4.06807422
0.01079;4.071834322
0.0108;4.075594399
0.01081;4.07935445
0.01082;4.083114476
0.01083;4.086874477
0.01084;4.090634453
0.01085;4.094394404
0.01086;4.098154329
0.01087;4.101914229
0.01088;4.105674104
0.01089;4.109433953
0.0109;4.113193777
0.01091;4.116953576
0.01092;4.12071335
0.01093;4.124473099
0.01094;4.128232822
0.01095;4.13199252
0.01096;4.135752193
0.01097;4.13951184
0.01098;4.143271462
0.01099;4.147031059
0.011;4.150790631
0.01101;4.154550178
0.01102;4.158309699
0.01103;4.162069195
0.01104;4.165828666
0.01105;4.169588111
0.01106;4.173347532
0.01107;4.177106927
0.01108;4.180866296
0.01109;4.184625641
0.0111;4.18838496
0.01111;4.192144254
0.01112;4.195903523
0.01113;4.199662767
0.01114;4.203421985
0.01115;4.207181178
0.01116;4.210940346
0.01117;4.214699488
0.01118;4.218458605
0.01119;4.222217697
0.0112;4.225976764
0.01121;4.229735806
0.01122;4.233494822
0.01123;4.237253813
0.01124;4.241012779
0.01125;4.244771719
0.01126;4.248530635
0.01127;4.252289525
0.01128;4.25604839
0.01129;4.259807229
0.0113;4.263566043
0.01131;4.267324832
0.01132;4.271083596
0.01133;4.274842335
0.01134;4.278601048
0.01135;4.282359736
0.01136;4.286118399
0.01137;4.289877037
0.01138;4.293635649
0.01139;4.297394236
0.0114;4.301152798
0.01141;4.304911334
0.01142;4.308669846
0.01143;4.312428332
0.01144;4.316186792
0.01145;4.319945228
0.01146;4.323703638
0.01147;4.327462023
0.01148;4.331220383
0.01149;4.334978718
0.0115;4.338737027
0.01151;4.342495311
0.01152;4.34625357
0.01153;4.350011804
0.01154;4.353770012
0.01155;4.357528195
0.01156;4.361286353
0.01157;4.365044485
0.01158;4.368802593
0.01159;4.372560675
0.0116;4.376318732
0.01161;4.380076763
0.01162;4.38383477
0.01163;4.387592751
0.01164;4.391350707
0.01165;4.395108637
0.01166;4.398866542
0.01167;4.402624423
0.01168;4.406382277
0.01169;4.410140107
0.0117;4.413897911
0.01171;4.41765569
0.01172;4.421413444
0.01173;4.425171173
0.01174;4.428928876
0.01175;4.432686554
0.01176;4.436444207
0.01177;4.440201835
0.01178;4.443959437
0.01179;4.447717014
0.0118;4.451474566
0.01181;4.455232093
0.01182;4.458989594
0.01183;4.46274707
0.01184;4.466504521
0.01185;4.470261947
0.01186;4.474019347
0.01187;4.477776722
0.01188;4.481534072
0.01189;4.485291397
0.0119;4.489048696
0.01191;4.49280597
0.01192;4.496563219
0.01193;4.500320443
0.01194;4.504077641
0.01195;4.507834814
0.01196;4.511591962
0.01197;4.515349084
0.01198;4.519106182
0.01199;4.522863254
0.012;4.526620301
0.01201;4.530377322
0.01202;4.534134319
0.01203;4.53789129
0.01204;4.541648236
0.01205;4.545405157
0.01206;4.549162052
0.01207;4.552918922
0.01208;4.556675767
0.01209;4.560432587
0.0121;4.564189381
0.01211;4.56794615
0.01212;4.571702894
0.01213;4.575459613
0.01214;4.579216306
0.01215;4.582972974
0.01216;4.586729617
0.01217;4.590486235
0.01218;4.594242827
0.01219;4.597999394
0.0122;4.601755936
0.01221;4.605512453
0.01222;4.609268944
0.01223;4.61302541
0.01224;4.616781851
0.01225;4.620538267
0.01226;4.624294657
0.01227;4.628051022
0.01228;4.631807362
0.01229;4.635563677
0.0123;4.639319966
0.01231;4.643076231
0.01232;4.64683247
0.01233;4.650588683
0.01234;4.654344872
0.01235;4.658101035
0.01236;4.661857173
0.01237;4.665613285
0.01238;4.669369373
0.01239;4.673125435
0.0124;4.676881472
0.01241;4.680637484
