load_torque_Nm;current_A
0.00686;0.3849608198
0.00687;0.3851265823
0.00688;0.3852923448
0.00689;0.3854581073
0.0069;0.3856238698
0.00691;0.3857896323
0.00692;0.3859553948
0.00693;0.3861211573
0.00694;0.3862869198
0.00695;0.3864526823
0.00696;0.3866184448
0.00697;0.3867842074
0.00698;0.3869499699
0.00699;0.3871157324
0.007;0.3872814949
0.00701;0.3874472574
0.00702;0.3876130199
0.00703;0.3877787824
0.00704;0.3879445449
0.00705;0.3881103074
0.00706;0.3882760699
0.00707;0.3884418324
0.00708;0.3886075949
0.00709;0.3887733574
0.0071;0.38893912
0.00711;0.3891048825
0.00712;0.389270645
0.00713;0.3894364075
0.00714;0.38960217
0.00715;0.3897679325
0.00716;0.389933695
0.00717;0.3900994575
0.00718;0.39026522
0.00719;0.3904309825
0.0072;0.390596745
0.00721;0.3907625075
0.00722;0.39092827
0.00723;0.3910940325
0.00724;0.3912597951
0.00725;0.3914255576
0.00726;0.3915913201
0.00727;0.3917570826
0.00728;0.3919228451
0.00729;0.3920886076
0.0073;0.3922543701
0.00731;0.3924201326
0.00732;0.3925858951
0.00733;0.3927516576
0.00734;0.3929174201
0.00735;0.3930831826
0.00736;0.3932489451
0.00737;0.3934147077
0.00738;0.3935804702
0.00739;0.3937462327
0.0074;0.3939119952
0.00741;0.3940777577
0.00742;0.3942435202
0.00743;0.3944092827
0.00744;0.3945750452
0.00745;0.3947408077
0.00746;0.3949065702
0.00747;0.3950723327
0.00748;0.3952380952
0.00749;0.3954038577
0.0075;0.3955696203
0.00751;0.3957353828
0.00752;0.3959011453
0.00753;0.3960669078
0.00754;0.3962326703
0.00755;0.3963984328
0.00756;0.3965641953
0.00757;0.3967299578
0.00758;0.3968957203
0.00759;0.3970614828
0.0076;0.3972272453
0.00761;0.3973930078
0.00762;0.3975587703
0.00763;0.3977245329
0.00764;0.3978902954
0.00765;0.3980560579
0.00766;0.3982218204
0.00767;0.3983875829
0.00768;0.3985533454
0.00769;0.3987191079
0.0077;0.3988848704
0.00771;0.3990506329
0.00772;0.3992163954
0.00773;0.3993821579
0.00774;0.3995479204
0.00775;0.3997136829
0.00776;0.3998794454
0.00777;0.400045208
0.00778;0.4002109705
0.00779;0.400376733
0.0078;0.4005424955
0.00781;0.400708258
0.00782;0.4008740205
0.00783;0.401039783
0.00784;0.4012055455
0.00785;0.401371308
0.00786;0.4015370705
0.00787;0.401702833
0.00788;0.4018685955
0.00789;0.402034358
0.0079;0.4022001206
0.00791;0.4023658831
0.00792;0.4025316456
0.00793;0.4026974081
0.00794;0.4028631706
0.00795;0.4030289331
0.00796;0.4031946956
0.00797;0.4033604581
0.00798;0.4035262206
0.00799;0.4036919831
0.008;0.4038577456
0.00801;0.4040235081
0.00802;0.4041892706
0.00803;0.4043550332
0.00804;0.4045207957
0.00805;0.4046865582
0.00806;0.4048523207
0.00807;0.4050180832
0.00808;0.4051838457
0.00809;0.4053496082
0.0081;0.4055153707
0.00811;0.4056811332
0.00812;0.4058468957
0.00813;0.4060126582
0.00814;0.4061784207
0.00815;0.4063441832
0.00816;0.4065099458
0.00817;0.4066757083
0.00818;0.4068414708
0.00819;0.4070072333
0.0082;0.4071729958
0.00821;0.4073387583
0.00822;0.4075045208
0.00823;0.4076702833
0.00824;0.4078360458
0.00825;0.4080018083
0.00826;0.4081675708
0.00827;0.4083333333
0.00828;0.4084990958
0.00829;0.4086648583
0.0083;0.4088306209
0.00831;0.4089963834
0.00832;0.4091621459
0.00833;0.4093279084
0.00834;0.4094936709
0.00835;0.4096594334
0.00836;0.4098251959
0.00837;0.4099909584
0.00838;0.4101567209
0.00839;0.4103224834
0.0084;0.4104882459
0.00841;0.4106540084
0.00842;0.4108197709
0.00843;0.4109855335
0.00844;0.411151296
0.00845;0.4113170585
0.00846;0.411482821
0.00847;0.4116485835
0.00848;0.411814346
0.00849;0.4119801085
0.0085;0.412145871
0.00851;0.4123116335
0.00852;0.412477396
0.00853;0.4126431585
0.00854;0.412808921
0.00855;0.4129746835
0.00856;0.4131404461
0.00857;0.4133062086
0.00858;0.4134719711
0.00859;0.4136377336
0.0086;0.4138034961
0.00861;0.4139692586
0.00862;0.4141350211
0.00863;0.4143007836
0.00864;0.4144665461
0.00865;0.4146323086
0.00866;0.4147980711
0.00867;0.4149638336
0.00868;0.4151295961
0.00869;0.4152953586
0.0087;0.4154611212
0.00871;0.4156268837
0.00872;0.4157926462
0.00873;0.4159584087
0.00874;0.4161241712
0.00875;0.4162899337
0.00876;0.4164556962
0.00877;0.4166214587
0.00878;0.4167872212
0.00879;0.4169529837
0.0088;0.4171187462
0.00881;0.4172845087
0.00882;0.4174502712
0.00883;0.4176160338
0.00884;0.4177817963
0.00885;0.4179475588
0.00886;0.4181133213
0.00887;0.4182790838
0.00888;0.4184448463
0.00889;0.4186106088
0.0089;0.4187763713
0.00891;0.4189421338
0.00892;0.4191078963
0.00893;0.4192736588
0.00894;0.4194394213
0.00895;0.4196051838
0.00896;0.4197709464
0.00897;0.4199367089
0.00898;0.4201024714
0.00899;0.4202682339
0.009;0.4204339964
0.00901;0.4205997589
0.00902;0.4207655214
0.00903;0.4209312839
0.00904;0.4210970464
0.00905;0.4212628089
0.00906;0.4214285714
0.00907;0.4215943339
0.00908;0.4217600964
0.00909;0.421925859
0.0091;0.4220916215
0.00911;0.422257384
0.00912;0.4224231465
0.00913;0.422588909
0.00914;0.4227546715
0.00915;0.422920434
0.00916;0.4230861965
0.00917;0.423251959
0.00918;0.4234177215
0.00919;0.423583484
0.0092;0.4237492465
0.00921;0.423915009
0.00922;0.4240807715
0.00923;0.4242465341
0.00924;0.4244122966
0.00925;0.4245780591
0.00926;0.4247438216
0.00927;0.4249095841
0.00928;0.4250753466
0.00929;0.4252411091
0.0093;0.4254068716
0.00931;0.4255726341
0.00932;0.4257383966
0.00933;0.4259041591
0.00934;0.4260699216
0.00935;0.4262356841
0.00936;0.4264014467
0.00937;0.4265672092
0.00938;0.4267329717
0.00939;0.4268987342
0.0094;0.4270644967
0.00941;0.4272302592
0.00942;0.4273960217
0.00943;0.4275617842
0.00944;0.4277275467
0.00945;0.4278933092
0.00946;0.4280590717
0.00947;0.4282248342
0.00948;0.4283905967
0.00949;0.4285563593
0.0095;0.4287221218
0.00951;0.4288878843
0.00952;0.4290536468
0.00953;0.4292194093
0.00954;0.4293851718
0.00955;0.4295509343
0.00956;0.4297166968
0.00957;0.4298824593
0.00958;0.4300482218
0.00959;0.4302139843
0.0096;0.4303797468
0.00961;0.4305455093
0.00962;0.4307112719
0.00963;0.4308770344
0.00964;0.4310427969
0.00965;0.4312085594
0.00966;0.4313743219
0.00967;0.4315400844
0.00968;0.4317058469
0.00969;0.4318716094
0.0097;0.4320373719
0.00971;0.4322031344
0.00972;0.4323688969
0.00973;0.4325346594
0.00974;0.4327004219
0.00975;0.4328661844
0.00976;0.433031947
0.00977;0.4331977095
0.00978;0.433363472
0.00979;0.4335292345
0.0098;0.433694997
0.00981;0.4338607595
0.00982;0.434026522
0.00983;0.4341922845
0.00984;0.434358047
0.00985;0.4345238095
0.00986;0.434689572
0.00987;0.4348553345
0.00988;0.435021097
0.00989;0.4351868596
0.0099;0.4353526221
0.00991;0.4355183846
0.00992;0.4356841471
0.00993;0.4358499096
0.00994;0.4360156721
0.00995;0.4361814346
0.00996;0.4363471971
0.00997;0.4365129596
0.00998;0.4366787221
0.00999;0.4368444846
0.01;0.4370102471
0.01001;0.4371760096
0.01002;0.4373417722
0.01003;0.4375075347
0.01004;0.4376732972
0.01005;0.4378390597
0.01006;0.4380048222
0.01007;0.4381705847
0.01008;0.4383363472
0.01009;0.4385021097
0.0101;0.4386678722
0.01011;0.4388336347
0.01012;0.4389993972
0.01013;0.4391651597
0.01014;0.4393309222
0.01015;0.4394966847
0.01016;0.4396624473
0.01017;0.4398282098
0.01018;0.4399939723
0.01019;0.4401597348
0.0102;0.4403254973
0.01021;0.4404912598
0.01022;0.4406570223
0.01023;0.4408227848
0.01024;0.4409885473
0.01025;0.4411543098
0.01026;0.4413200723
0.01027;0.4414858348
0.01028;0.4416515973
0.01029;0.4418173599
0.0103;0.4419831224
0.01031;0.4421488849
0.01032;0.4423146474
0.01033;0.4424804099
0.01034;0.4426461724
0.01035;0.4428119349
0.01036;0.4429776974
0.01037;0.4431434599
0.01038;0.4433092224
0.01039;0.4434749849
0.0104;0.4436407474
0.01041;0.4438065099
0.01042;0.4439722725
0.01043;0.444138035
0.01044;0.4443037975
0.01045;0.44446956
0.01046;0.4446353225
0.01047;0.444801085
0.01048;0.4449668475
0.01049;0.44513261
0.0105;0.4452983725
0.01051;0.445464135
0.01052;0.4456298975
0.01053;0.44579566
0.01054;0.4459614225
0.01055;0.4461271851
0.01056;0.4462929476
0.01057;0.4464587101
0.01058;0.4466244726
0.01059;0.4467902351
0.0106;0.4469559976
0.01061;0.4471217601
0.01062;0.4472875226
0.01063;0.4474532851
0.01064;0.4476190476
0.01065;0.4477848101
0.01066;0.4479505726
0.01067;0.4481163351
0.01068;0.4482820976
0.01069;0.4484478602
0.0107;0.4486136227
0.01071;0.4487793852
0.01072;0.4489451477
0.01073;0.4491109102
0.01074;0.4492766727
0.01075;0.4494424352
0.01076;0.4496081977
0.01077;0.4497739602
0.01078;0.4499397227
0.01079;0.4501054852
0.0108;0.4502712477
0.01081;0.4504370102
0.01082;0.4506027728
0.01083;0.4507685353
0.01084;0.4509342978
0.01085;0.4511000603
0.01086;0.4512658228
0.01087;0.4514315853
0.01088;0.4515973478
0.01089;0.4517631103
0.0109;0.4519288728
0.01091;0.4520946353
0.01092;0.4522603978
0.01093;0.4524261603
0.01094;0.4525919228
0.01095;0.4527576854
0.01096;0.4529234479
0.01097;0.4530892104
0.01098;0.4532549729
0.01099;0.4534207354
0.011;0.4535864979
0.01101;0.4537522604
0.01102;0.4539180229
0.01103;0.4540837854
0.01104;0.4542495479
0.01105;0.4544153104
0.01106;0.4545810729
0.01107;0.4547468354
0.01108;0.454912598
0.01109;0.4550783605
0.0111;0.455244123
0.01111;0.4554098855
0.01112;0.455575648
0.01113;0.4557414105
0.01114;0.455907173
0.01115;0.4560729355
0.01116;0.456238698
0.01117;0.4564044605
0.01118;0.456570223
0.01119;0.4567359855
0.0112;0.456901748
0.01121;0.4570675105
0.01122;0.4572332731
0.01123;0.4573990356
0.01124;0.4575647981
