load_torque_Nm;speed_RPM
0.00905;3605.726341
0.00906;3605.714286
0.00907;3605.70223
0.00908;3605.690175
0.00909;3605.678119
0.0091;3605.666064
0.00911;3605.654008
0.00912;3605.641953
0.00913;3605.629898
0.00914;3605.617842
0.00915;3605.605787
0.00916;3605.593731
0.00917;3605.581676
0.00918;3605.56962
0.00919;3605.557565
0.0092;3605.545509
0.00921;3605.533454
0.00922;3605.521398
0.00923;3605.509343
0.00924;3605.497288
0.00925;3605.485232
0.00926;3605.473177
0.00927;3605.461121
0.00928;3605.449066
0.00929;3605.43701
0.0093;3605.424955
0.00931;3605.412899
0.00932;3605.400844
0.00933;3605.388788
0.00934;3605.376733
0.00935;3605.364678
0.00936;3605.352622
0.00937;3605.340567
0.00938;3605.328511
0.00939;3605.316456
0.0094;3605.3044
0.00941;3605.292345
0.00942;3605.280289
0.00943;3605.268234
0.00944;3605.256178
0.00945;3605.244123
0.00946;3605.232068
0.00947;3605.220012
0.00948;3605.207957
0.00949;3605.195901
0.0095;3605.183846
0.00951;3605.17179
0.00952;3605.159735
0.00953;3605.147679
0.00954;3605.135624
0.00955;3605.123568
0.00956;3605.111513
0.00957;3605.099458
0.00958;3605.087402
0.00959;3605.075347
0.0096;3605.063291
0.00961;3605.051236
0.00962;3605.03918
0.00963;3605.027125
0.00964;3605.015069
0.00965;3605.003014
0.00966;3604.990958
0.00967;3604.978903
0.00968;3604.966847
0.00969;3604.954792
0.0097;3604.942737
0.00971;3604.930681
0.00972;3604.918626
0.00973;3604.90657
0.00974;3604.894515
0.00975;3604.882459
0.00976;3604.870404
0.00977;3604.858348
0.00978;3604.846293
0.00979;3604.834237
0.0098;3604.822182
0.00981;3604.810127
0.00982;3604.798071
0.00983;3604.786016
0.00984;3604.77396
0.00985;3604.761905
0.00986;3604.749849
0.00987;3604.737794
0.00988;3604.725738
0.00989;3604.713683
0.0099;3604.701627
0.00991;3604.689572
0.00992;3604.677517
0.00993;3604.665461
0.00994;3604.653406
0.00995;3604.64135
0.00996;3604.629295
0.00997;3604.617239
0.00998;3604.605184
0.00999;3604.593128
0.01;3604.581073
0.01001;3604.569017
0.01002;3604.556962
0.01003;3604.544907
0.01004;3604.532851
0.01005;3604.520796
0.01006;3604.50874
0.01007;3604.496685
0.01008;3604.484629
0.01009;3604.472574
0.0101;3604.460518
0.01011;3604.448463
0.01012;3604.436407
0.01013;3604.424352
0.01014;3604.412297
0.01015;3604.400241
0.01016;3604.388186
0.01017;3604.37613
0.01018;3604.364075
0.01019;3604.352019
0.0102;3604.339964
0.01021;3604.327908
0.01022;3604.315853
0.01023;3604.303797
0.01024;3604.291742
0.01025;3604.279687
0.01026;3604.267631
0.01027;3604.255576
0.01028;3604.24352
0.01029;3604.231465
0.0103;3604.219409
0.01031;3604.207354
0.01032;3604.195298
0.01033;3604.183243
0.01034;3604.171187
0.01035;3604.159132
0.01036;3604.147077
0.01037;3604.135021
0.01038;3604.122966
0.01039;3604.11091
0.0104;3604.098855
0.01041;3604.086799
0.01042;3604.074744
0.01043;3604.062688
0.01044;3604.050633
0.01045;3604.038577
0.01046;3604.026522
0.01047;3604.014467
0.01048;3604.002411
0.01049;3603.990356
0.0105;3603.9783
0.01051;3603.966245
0.01052;3603.954189
0.01053;3603.942134
0.01054;3603.930078
0.01055;3603.918023
0.01056;3603.905967
0.01057;3603.893912
0.01058;3603.881857
0.01059;3603.869801
0.0106;3603.857746
0.01061;3603.84569
0.01062;3603.833635
0.01063;3603.821579
0.01064;3603.809524
0.01065;3603.797468
0.01066;3603.785413
0.01067;3603.773357
0.01068;3603.761302
0.01069;3603.749247
0.0107;3603.737191
0.01071;3603.725136
0.01072;3603.71308
0.01073;3603.701025
0.01074;3603.688969
0.01075;3603.676914
0.01076;3603.664858
0.01077;3603.652803
0.01078;3603.640747
0.01079;3603.628692
0.0108;3603.616637
0.01081;3603.604581
