load_torque_Nm;efficiency_percent
0.00986;35.67715389
0.00987;35.69960466
0.00988;35.72203808
0.00989;35.74445416
0.0099;35.76685293
0.00991;35.78923442
0.00992;35.81159862
0.00993;35.83394558
0.00994;35.8562753
0.00995;35.87858781
0.00996;35.90088313
0.00997;35.92316127
0.00998;35.94542226
0.00999;35.96766611
0.01;35.98989285
0.01001;36.01210249
0.01002;36.03429506
0.01003;36.05647057
0.01004;36.07862904
0.01005;36.10077049
0.01006;36.12289494
0.01007;36.14500242
0.01008;36.16709293
0.01009;36.1891665
0.0101;36.21122315
0.01011;36.2332629
0.01012;36.25528576
0.01013;36.27729176
0.01014;36.29928092
0.01015;36.32125324
0.01016;36.34320876
0.01017;36.36514749
0.01018;36.38706945
0.01019;36.40897467
0.0102;36.43086315
0.01021;36.45273491
0.01022;36.47458999
0.01023;36.49642838
0.01024;36.51825013
0.01025;36.54005523
0.01026;36.56184372
0.01027;36.5836156
0.01028;36.60537091
0.01029;36.62710965
0.0103;36.64883185
0.01031;36.67053752
0.01032;36.69222669
0.01033;36.71389937
0.01034;36.73555557
0.01035;36.75719533
0.01036;36.77881866
0.01037;36.80042557
0.01038;36.82201608
0.01039;36.84359022
0.0104;36.865148
0.01041;36.88668943
0.01042;36.90821455
0.01043;36.92972336
0.01044;36.95121588
0.01045;36.97269214
0.01046;36.99415215
0.01047;37.01559592
0.01048;37.03702348
0.01049;37.05843485
0.0105;37.07983004
0.01051;37.10120907
0.01052;37.12257196
0.01053;37.14391873
0.01054;37.16524939
0.01055;37.18656397
0.01056;37.20786248
0.01057;37.22914493
0.01058;37.25041135
0.01059;37.27166176
0.0106;37.29289617
0.01061;37.3141146
0.01062;37.33531706
0.01063;37.35650359
0.01064;37.37767418
0.01065;37.39882887
0.01066;37.41996767
0.01067;37.44109059
0.01068;37.46219765
0.01069;37.48328888
0.0107;37.50436429
0.01071;37.52542389
0.01072;37.54646771
0.01073;37.56749576
0.01074;37.58850806
0.01075;37.60950462
0.01076;37.63048547
0.01077;37.65145062
0.01078;37.67240009
0.01079;37.69333389
0.0108;37.71425205
0.01081;37.73515458
0.01082;37.75604149
0.01083;37.77691281
0.01084;37.79776856
0.01085;37.81860874
0.01086;37.83943338
0.01087;37.86024249
0.01088;37.88103609
0.01089;37.9018142
0.0109;37.92257684
0.01091;37.94332402
0.01092;37.96405575
0.01093;37.98477207
0.01094;38.00547297
0.01095;38.02615849
0.01096;38.04682863
0.01097;38.06748341
0.01098;38.08812286
0.01099;38.10874698
0.011;38.1293558
0.01101;38.14994933
0.01102;38.17052758
0.01103;38.19109058
0.01104;38.21163834
0.01105;38.23217088
0.01106;38.25268821
0.01107;38.27319035
0.01108;38.29367732
0.01109;38.31414913
0.0111;38.33460581
0.01111;38.35504736
0.01112;38.37547381
0.01113;38.39588516
0.01114;38.41628144
0.01115;38.43666267
0.01116;38.45702885
0.01117;38.47738001
0.01118;38.49771617
0.01119;38.51803733
0.0112;38.53834351
0.01121;38.55863474
0.01122;38.57891102
0.01123;38.59917238
0.01124;38.61941883
0.01125;38.63965038
0.01126;38.65986706
0.01127;38.68006888
0.01128;38.70025584
0.01129;38.72042798
0.0113;38.74058531
0.01131;38.76072784
0.01132;38.78085559
0.01133;38.80096857
0.01134;38.8210668
0.01135;38.84115031
0.01136;38.86121909
0.01137;38.88127317
